Ondra;po;mi;pt;nikdy;puč;o všech;pks;svých;pks;(o) problémech;pt;neřekl.;př;;;;
Náš;pks;Petr;po;čekal;př;ve velké;pks;(ve) frontě;pum;u pokladen.;pkn;;;;;;
Na výlet;pum;do Liberce;pkn;si děti;po;s sebou;puz;vezmou (si);př;deštník.;pt;;;;;;
Kouzelný;pks;dědeček;po;se Jiříkovi;pt;odměnil (se);př;splněním;pt;tří;pks;přání.;pkn;;;;
Na starých;pks;(na) komínech;pum;si letos;puč;vystavěli (si);př;čápi;po;svoje;pks;hnízda.;pt;;;;
Naše;pks;Janička;po;nosívá;př;dědovi;pt;ráno;puč;čerstvé;pks;rohlíky.;pt;;;;
V neděli;puč;se kluci;po;vypraví (se);př;ke starému;pks;(ke) mlýnu;pum;u potoka.;pkn;;;;;;
Autobus;po;mi;pt;dnes;puč;ujel;př;kvůli zpoždění;pu příčiny;před nosem.;pum;;;;;;
Rowan;po;nezapomněl;př;na svůj;pks;tajný;pks;(na) slib.;pt;;;;;;;;
Tyger;po;ho;pt;odbyl;př;pokrčením;pt;ramen.;pkn;;;;;;;;
Faraday;po;smutně;puz;zavrtěl;př;hlavou.;pt;;;;;;;;;;
Lidožroutka;po;spala;př;v truhle;pum;celou;pks;noc.;puč;;;;;;;;
Zaklínač;po;měl;př;na krku;pum;stříbrný;pks;medailon;pt;s vlkem.;pkn;;;;;;
V každé;pks;(v) pohádce;pum;se skrývá;př;zrnko;po;pravdy.;pkn;;;;;;;;
Geralt;po;prudce;puz;otočil;př;hlavu.;pt;;;;;;;;;;
Yennefer;po;křičela;př;nová;pks;zaklínadla.;pt;;;;;;;;;;
Šarlatán;po;předal;př;borovou;pks;větvičku;pt;starému;pks;králi.;pt;;;;;;
Z kuchyně;pum;se ozvalo;př;hlasité;pks;řinčení;po;nádobí.;pkn;;;;;;;;
Po otcově;pks;(po) smrti;puč;našel;př;syn;po;ve starém;pks;(ve) hrnci;pum;ukrytý;pks;malý;pks;balíček.;pt
Nejstarší;pks;bratr;po;požádal;př;o kouzelnou;pks;(o) hůlku.;pt;;;;;;;;
Druhý;pks;bratr;po;chtěl přivolávat;př;zemřelé;pt;zpět.;pum;;;;;;;;
Nejmladší;pks;bratr;po;získal;př;neviditelný;pks;dlouhý;pks;plášť.;pt;;;;;;
Pan Dursley;po;pro radost;pu příčiny;sedával;př;vždycky;puč;u otevřeného;pks;(u) okna.;pum;;;;;;
Do obývacího;pks;(do) pokoje;pum;vstoupil;př;rychle;puz;domácí;pks;skřítek.;po;;;;;;
Harry;po;rozbalil;př;opatrně;puz;svoji;pks;čokoládovou;pks;žabku.;pt;;;;;;
Nevillovy;pks;nohy;po;vmžiku;puč;odskočily;př;jedna od druhé.;puz;;;;;;;;
Nakonec;puč;Hagrid;po;se šíleným;pks;(se) plánem;pt;pomsty;pkn;souhlasil.;př;;;;;;
Déšť;po;letos;puč;způsobil;př;lidem;pt;na Moravě;pkn;velké;pks;starosti.;pt;;;;
Na druhou;pks;(na) kolej;pum;právě;puč;přijíždí;př;osobní;pks;vlak;po;z Brna.;pkn;;;;
Na babiččině;pks;(na) zahrádce;pum;už dlouho;puč;roste;př;mrkev a petržel.;po;;;;;;;;
Zůstal;př;jim;pt;pouze;pu míry;starý;pks;hnědý;pks;pes.;po;;;;;;
V chalupě;pum;se ozvaly;př;kroky.;pt;;;;;;;;;;;;
Rodiče;po;je;pt;vzbudili;př;před svítáním.;puč;;;;;;;;;;
Mařence;pt;se v lese;pum;(se) zavřely;př;oči.;po;;;;;;;;;;
Děti;po;hned nablízku;pum;pořád;puč;slyšely;př;sekeru.;pt;;;;;;;;
Babka;po;jim;pt;podala;př;čerstvý;pks;chleba;pt;s máslem.;pkn;;;;;;
Čarodějnice;po;poplácala;př;silně;pu míry;Jeníčka;pt;po tváři.;pum;;;;;;;;
