PUM (místa);;
Šel (př);do lesa.;
Šel (př);okolo rybníka.;
Šel (př);přes louku.;
Šel (př);domů;
Šel (př);od babičky.;
Šel (př);ke kamarádovi.;
Šel (př);do kina.;
Šel (př);na maškarní.;
Šel (př);k dědovi.;
Šel (př);na doučování.;
Šel (př);skrz pole.;
Jel (př);do Prahy.;
Jel (př);do Liberce.;
Jel (př);do Ostravy.;
Jel (př);na dovolenou.;
Jel (př);na koupaliště.;
Jel (př);na hory.;
Jel (př);skrz tunel.;
Jel (př);okolo vesnice.;
Jel (př);přes město.;
Pohladil ji;po ruce.;
Vůně se linula;z okna.;
Pracoval ;na zahradě.;
Vrátil se ;z Itálie.;
;Venku;je velká zima.
Stoupni si;stranou.;
Stoupni si;vedle mě.;
Letadlo letělo;nad domy.;
Skrývá se ;uprostřed zeleně.;
;V lese;našel spoustu hub.
Přibližovali se;k našemu domu.;
Půjdu;do knihovny.;
;;
PUČ (času);;
Přišel;včera.;
Přišel;včas.;
Přišel;v pět hodin.;
Přišel;okolo šeté.;
Přišel;pozdě.;
Je starší;o tři roky.;
Je mladší;o několik let.;
Potrvá to;dlouho.;
Přijde;hned.;
Cesta trvala;věčnost.;
Jezdil k nám ;často.;
Musíš;vždy;pozdravit.
;Nikdy;neříkej nikdy.
;Od rána;mě bolí hlava.
Poslouchal;do noci;
Koná se;každoročně;
Pršelo;celý den;
Sněžilo;do března;
;Od večera;se neozvala.
;Loni;bylo hodně třešní.
;O přestávce;byl velký hluk.
Známe se;od dětství;
Potkali jsem se ;před týdnem.;
Jeli jsme;krátce.;
Uvidíme se;v pátek.;
Škola začíná;v pondělí.;
Naučil se to ;během kurzu.;
;O prázdninách;si odpočineme.
Projednali to ;ve středu.;
Sázet jahody budu;v květnu.;
;V sedm;zapadne slunce.
;24. prosince;je Štědrý den.
;;
PUZ (způsobu);;
Byl zdravý;jako řípa.;
Mazaný;jako liška.;
;Spokojeně ;si hráli.
Stál ;po kolena;ve vodě.
Běžel;jako zajíc;
Zpívala;živě.;
Mluvil;nahlas.;
Běželi;pomalu.;
Celý den;hustě;pršelo.
Spal;jako dudek.;
Do práce jezdil;autobusem.;
Chodil všude;pěšky.;
Mluv ;zřetelně.;
Tvářila se;smutně. ;
Učí se;svědomitě.;
Liška se;potichu;plížila.
;Hezky;poprosil.
Nemluv;sprostě.;
Pojedeme ;bez vás.;
Vše vypadá;jinak.;
Chodil  ;svižně.;
Mluvila ;jako kniha.;
;Nenápadně;ho pozoroval.
Šlo to ;jako po másle.;
Byl studený;jako led.;
Čekal ;jako na trní.;
Byla bílá;jako stěna.;
Domluvila se s ním;snadno.;
Oblek mu;dobře;vyčistili.
Tvářil se ;pobaveně.;
Objevili;tajemně;vyoadající bednu.
Působili;skromně.;
;;
PU příčiny;;
Pro nemoc;bylo představení zrušeno.;
Díky tobě;jsem to zvládla.;
Kvůli němu;jdu pozdě.;
Pro neznalost;neobstál.;
Ze strachu;nic neprozradil.;
Z radosti;skákal do výšky.;
Kvůli nevolnosti;odjeli dřív.;
Kvůli nešikovnosti;rozbil sklenici.;
Díky píli;zvládl přijímací zkoušky.;
Kvůli opravě ;nemohl projet.;
;;
PU míry;;
Musíte se;hodně;snažit.
Čekal;moc dlouho;
Nadšení diváci;velmi;tleskali.
Promohl;až na kost.;
;Dost;to přehnal.
;Velmi ;se mu to líbilo.
Slunce;silně;pálí.
Moje sestra umí;dokonale;francouzsky.
Doběhl;zcela;vyčerpaný.
Mluvím anglicky ;jen trochu.;
