
poslušný;pks;pes;po
mourovatá;pks;kočka;po
vysoká;pks;žirafa;po
drahé;pks;šaty;po
kamenná;pks;věž;po
vosí;pks;hnízdo;po
ptačí;pks;zpěv;po
britský;pks;král;po
plynový;pks;sporák;po
perníkové;pks;srdce;po
srdeční;pks;komora;po
srdcová;pks;královna;po
králičí;pks;nora;po
rybí;pks;šupina;po
vánoční;pks;stromeček;po
oříšková;pks;čokoláda;po
jahodové;pks;lízátko;po
jezerní;pks;paní;po
fotbalový;pks;zápas;po
dědečkova;pks;chata;po
slaměný;pks;klobouk;po
první;pks;závod;po
můj;pks;sešit;po
letní;pks;šaty;po
dětské;pks;přání;po
naše;pks;zahrada;po
stříbrný;pks;prsten;po
letecká;pks;doprava;po
knižní;pks;veletrh;po
česká;pks;pošta;po
lidová;pks;pohádka;po
její;pks;hřeben;po
křestní;pks;jméno;po
shnilé;pks;jablko;po
zdravý;pks;zub;po
bledý;pks;chlapec;po
psí;pks;žrádlo;po
švestkový;pks;kompot;po
lednové;pks;slevy;po
čajová;pks;souprava;po
hokejové;pks;utkání;po
dřevěné;pks;police;po
polní;pks;cesta;po
sluneční;pks;brýle;po
anglický;pks;čaj;po
tvarohové;pks;buchty;po
makový;pks;závin;po
skleněné;pks;ozdoby;po
smetanový;pks;sýr;po
lidská;pks;práva;po
filmový;pks;festival;po
základní;pks;škola;po
kuřecí;pks;vývar;po
rajská;pks;polévka;po
třetí;pks;princ;po
moje;pks;maminka;po
liberecké;pks;pochutiny;po
starověký;pks;Egypt;po
kolektivní;pks;vina;po
pravěká;pks;jeskyně;po
epický;pks;žánr;po
podmořský;pks;svět;po
zoologická;pks;zahrada;po
květnové;pks;povstání;po
písečná;pks;bouře;po
nečitelný;pks;zápis;po
oznamovací;pks;věta;po
magnetická;pks;tabule;po
mobilní;pks;telefon;po
školní;pks;batoh;po
velká;pks;obrazovka;po
naše;pks;fenka;po
druhé;pks;místo;po
tato;pks;ulice;po
divadelní;pks;představení;po
dešťové;pks;přeháňky;po
papírová;pks;taška;po
první;pks;vlaštovka;po
sportovní;pks;obuv;po
pomerančový;pks;džus;po
bezlepkový;pks;chléb;po
čokoládový;pks;bonbón;po
sousedův;pks;pes;po
slunéčko;po;sedmitečné;pks
kyselina;po;sírová;pks
mandelinka;po;bramborová;pks
medvěd;po;lední;pks
koala;po;medvídkovitý;pks
žirafa;po;masajská;pks
slon;po;africký;pks
ježek;po;bělobřichý;pks
orel;po;skalní;pks
smetanka;po;lékařská;pks
slunečnice;po;roční;pks
heřmánek;po;pravý;pks
rmenec;po;sličný;pks
včela;po;medonosná;pks
kočka;po;domácí;pks
vlk;po;obecný;pks
oxid;po;uhličitý;pks
šaty;po;z hedvábí;pkn
věž;po;z kamene;pkn
hnízdo;po;vos;pkn
zpěv;po;ptáků;pkn
král;po;Británie;pkn
srdce;po;z perníku;pkn
šupina;po;z ryby;pkn
čokoláda;po;s oříšky;pkn
paní;po;z jezera;pkn
zápas;po;ve fotbale;pkn
klobouk;po;ze slámy;pkn
mistrovství;po;světa;pkn
sešit;po;z matematiky;pkn
šaty;po;na léto;pkn
kožich;po;z norka;pkn
prsten;po;ze zlata;pkn
náhrdelník;po;s diamanty;pkn
veletrh;po;knih;pkn
přání;po;dětí;pkn
